id,wd,ovbd,od,mud,sh,lithol,interc,d0,d6,d12,d18,d24,d36,d48,d60,d72,d96,d120,d144
1,0,500,17.5,10,50,0,0.5,-8.27E-05,-8.28E-05,-8.28E-05,-8.29E-05,-8.29E-05,-8.30E-05,-8.31E-05,-8.32E-05,-8.33E-05,-8.35E-05,-8.37E-05,-8.39E-05
2,0,500,17.5,12,50,0,0.5,-6.36E-05,-6.36E-05,-6.36E-05,-6.37E-05,-6.37E-05,-6.37E-05,-6.38E-05,-6.38E-05,-6.38E-05,-6.39E-05,-6.40E-05,-6.41E-05
3,0,500,17.5,14,50,0,0.5,-4.45E-05,-4.45E-05,-4.45E-05,-4.45E-05,-4.45E-05,-4.45E-05,-4.45E-05,-4.45E-05,-4.45E-05,-4.46E-05,-4.46E-05,-4.46E-05
4,0,500,14.75,10,50,0,0.5,-6.98E-05,-6.98E-05,-6.98E-05,-6.99E-05,-6.99E-05,-7.00E-05,-7.01E-05,-7.01E-05,-7.02E-05,-7.04E-05,-7.05E-05,-7.07E-05
5,0,500,14.75,12,50,0,0.5,-5.36E-05,-5.36E-05,-5.36E-05,-5.37E-05,-5.37E-05,-5.37E-05,-5.37E-05,-5.38E-05,-5.38E-05,-5.39E-05,-5.40E-05,-5.40E-05
6,0,500,14.75,14,50,0,0.5,-3.75E-05,-3.75E-05,-3.75E-05,-3.75E-05,-3.75E-05,-3.75E-05,-3.75E-05,-3.75E-05,-3.75E-05,-3.76E-05,-3.76E-05,-3.76E-05
7,0,500,12.25,10,50,0,0.5,-5.79E-05,-5.80E-05,-5.80E-05,-5.80E-05,-5.81E-05,-5.81E-05,-5.82E-05,-5.83E-05,-5.83E-05,-5.85E-05,-5.86E-05,-5.87E-05
8,0,500,12.25,12,50,0,0.5,-4.45E-05,-4.45E-05,-4.46E-05,-4.46E-05,-4.46E-05,-4.46E-05,-4.46E-05,-4.47E-05,-4.47E-05,-4.48E-05,-4.48E-05,-4.49E-05
9,0,500,12.25,14,50,0,0.5,-3.11E-05,-3.11E-05,-3.11E-05,-3.11E-05,-3.11E-05,-3.12E-05,-3.12E-05,-3.12E-05,-3.12E-05,-3.12E-05,-3.12E-05,-3.12E-05
10,1000,500,17.5,10,50,0,0.5,-5.68E-05,-5.68E-05,-5.68E-05,-5.68E-05,-5.68E-05,-5.69E-05,-5.69E-05,-5.69E-05,-5.69E-05,-5.69E-05,-5.69E-05,-5.70E-05
11,1000,500,17.5,12,50,0,0.5,-2.88E-06,-2.88E-06,-2.88E-06,-2.88E-06,-2.88E-06,-2.88E-06,-2.88E-06,-2.88E-06,-2.88E-06,-2.88E-06,-2.88E-06,-2.88E-06
13,1000,500,14.75,10,50,0,0.5,-4.79E-05,-4.79E-05,-4.79E-05,-4.79E-05,-4.79E-05,-4.79E-05,-4.79E-05,-4.80E-05,-4.80E-05,-4.80E-05,-4.80E-05,-4.80E-05
14,1000,500,14.75,12,50,0,0.5,-2.42E-06,-2.42E-06,-2.42E-06,-2.42E-06,-2.42E-06,-2.42E-06,-2.42E-06,-2.42E-06,-2.42E-06,-2.42E-06,-2.42E-06,-2.42E-06
